'heathercoxrichardson',2
'fdr',6
'roosevelt',4
'scam',2
'scammer',2
'alert',2
'newyork',43
'newyorkers',3
'themarkup',3
'geofencing',1
'geofencewarrants',1
'coding',3
'developer',3
'codenewbie',3
'python',3
'java',3
'codinglife',3
'localgovernment',3
'100daysofcodechallenge',3
'state',309
'work',8
'cdwsocial',3
'narendramodi',4
'hindumuslim',1
'muslimlivesmatter',2
'peshawarjalsa',24
'plant',1
'trees',1
'cpsavesoil',1
'averageamerican',1
'foreigninvestment',1
'corporate',4
'left',5
'msm',13
'conservatives',29
'maskmandates',1
'vaccinations',1
'vegan',1
'gun',6
'less',1
'pensacola',1
'btc',8
'blockchain',47
'fintech',8
'losangeles',7
'seattle',3
'localelections2022',18
'boost',1
'developments',1
'greenspace',1
'water',2
'land',2
'appdevelopment',2
'automation',5
'softwaredevelopment',2
'devops',2
'appdeveloper',2
'govit',2
'employees',3
'federalgovernment',1
'assembly',3
'karnatakarains',2
'interfere',2
'fedramp',1
'webinar',3
'it',6
'atlassian',1
'customerservice',1
'merrimack',1
'energycrisis',1
'tampa',1
'indian',2
'right_to_throw_stones',1
'scammers',1
'abusing',1
'funding',4
'gbgreport',1
'fortdrum',1
'digitalafterlife',1
'digitalgovernment',1
'disruption',3
'digitalsociety',1
'digitalstrategy',1
'grants',2
'ians',1
'vlogs',1
'anakysis',1
'commentary',3
'journalismmatters',1
'hacking',5
'cyberattack',1
'earegun',1
'hipaa',1
'pci',1
'forthood',1
'maconipeter',1
'parents',4
'residents',3
'businesses',8
'textiles',1
'goodthing',1
'americans',35
'tank',1
'housing',7
'presidentielles2022',5
'plischemes',1
'fameschemeextension',1
'siampresidentkenichiayukawa',1
'etf',1
'governance',38
'leadershipmatters',6
'morality',3
'german',9
'scholz',2
'secret',2
'doctors',2
'nurses',3
'carers',1
'whitewash',1
'johnson',5
'suegrayreport',2
'dmv',3
'cloudera',2
'bigdata',3
'resign',6
'impatient',1
'whyiamvoting',1
'bullshit',5
'asia',16
'brazil',11
'cardano',2
'boardofreview',1
'transparent',3
'cookcounty',1
'latestpost',2
'genderbiasedlaws',1
'revenue',1
'britishcolumbia',3
'dishonest',1
'collusion',2
'bclogging',1
'corporations',3
'ecosystems',1
'newdeathparty',3
'bcndp',3
'johnhorgan',2
'corporategreed',2
'ecocide',3
'toxic',1
'poison',1
'evcharging',1
'decarbonisation',1
'netzero',1
'johnsons',1
'humbl',1
'web3',40
'cyberrisk',1
'hack',2
'charlotte',4
'thepeople',1
'alttext',1
'accessibility',1
'imported',7
'transparency',2
'openess',1
'administration',5
'guanajuato',1
'thebest',1
'evaluated',1
'cide',1
'inai',1
'accesstoinformation',1
'visitguanajuato',1
'traveltoguanajuato',1
'businessinguanajuato',1
'hillafb',1
'narcissism',1
'delusion',1
'hubris',1
'change',6
'cyber',4
'cybercrime',1
'cyprus',4
'criminals',3
'kleptocrats',1
'oligarchs',4
'crimes',5
'injustice',3
'himachal',1
'socialcontract',2
'criminal',6
'moralauthority',2
'lead',2
'helping',1
'shameful',2
'monitorlizard',1
'rape',3
'maharashtra',3
'despicable',1
'politicalcampaign',1
'power',7
'texans',4
'cladding',1
'hypocrisy',5
'muslimsunderattack',1
'hindutvaterrorist',1
'buldozer',1
'selfdefense',1
'saffronterrorists',1
'fuelshortageke',1
'flynetzero',1
